Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
58,Concertación y Juntos Podemos por más Democracia,PDC,1,17457,23.1,1
58,Coalición por el Cambio,UDI,1,14371,19.02,0
58,Coalición por el Cambio,RN,1,27098,35.86,1
58,Válidamente emitidos,,0,75564,100.0,0
59,Concertación y Juntos Podemos por más Democracia,PPD,1,9381,22.9,1
59,Concertación y Juntos Podemos por más Democracia,PS,1,8355,20.4,0
59,Coalición por el Cambio,UDI,1,12902,31.5,1
59,Coalición por el Cambio,RN,1,10323,25.2,0
59,Válidamente emitidos,,0,40961,100.0,0
60,Concertación y Juntos Podemos por más Democracia,PDC,1,22498,34.0,1
60,Concertación y Juntos Podemos por más Democracia,PS,1,4877,7.37,0
60,Coalición por el Cambio,UDI,1,4520,6.83,0
60,Coalición por el Cambio,RN,1,9315,14.08,0
60,Chile Limpio. Vote Feliz,PRI,2,1075,1.62,0
60,Candidatura Independiente,IND,1,17512,26.47,1
60,Candidatura Independiente,IND,1,566,0.86,0
60,Válidamente emitidos,,0,66163,100.0,0
