Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
22,Válidamente emitidos,,[],108786,100,,
23,Concertación y Juntos Podemos por más Democracia,IND,"['Alberto', 'Cienfuegos', 'Becerra']",27202,12.61,,
23,Concertación y Juntos Podemos por más Democracia,PRSD,"['Macarena', 'Carvallo', 'Silva']",22612,10.49,,
23,Coalición por el Cambio,UDI,"['Ernesto', 'Silva', 'Méndez']",60272,27.95,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ernesto_Silva_Méndez
23,Coalición por el Cambio,RN,"['Cristián', 'Monckeberg', 'Bruner']",77484,35.93,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristián_Monckeberg_Bruner
23,Nueva Mayoría para Chile,PH,"['Joaquín', 'Arduengo', 'Naredo']",2140,0.99,,
23,Nueva Mayoría para Chile,PH,"['Alfonso', 'Revuelta', 'Salfate']",2066,0.96,,
23,Chile Limpio. Vote Feliz,PRI,"['José', 'Francisco', 'Salamanca', 'Santa María']",1677,0.78,,
23,Chile Limpio. Vote Feliz,PRI,"['Cristián', 'Luco', 'Rosende']",1035,0.48,,
23,Candidatura Independiente,IND,"['Rodrigo', 'García', 'Pinochet']",21155,9.81,,
23,Válidamente emitidos,,[],215643,100,,
24,Concertación y Juntos Podemos por más Democracia,PPD,"['Enrique', 'Accorsi', 'Opazo']",31383,23.19,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Accorsi_Opazo
24,Concertación y Juntos Podemos por más Democracia,PDC,"['Sebastián', 'Iglesias', 'Ramírez']",28741,21.24,,
24,Coalición por el Cambio,RN,"['Juvenal', 'Olmos', 'Rojas']",19024,14.06,,
24,Coalición por el Cambio,UDI,"['María', 'Angélica', 'Cristi', 'Marfil']",44969,33.24,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Angélica_Cristi_Marfil
24,Nueva Mayoría para Chile,PH,"['Humberto', 'Valenzuela', 'Paredes']",5021,3.71,,
24,Chile Limpio. Vote Feliz,IND,"['Juan', 'Bustamante', 'Ramírez']",3522,2.6,,
24,Chile Limpio. Vote Feliz,IND,"['Guillermo', 'Abraham', 'González', 'Castro']",2643,1.95,,
24,Válidamente emitidos,,[],135303,100,,
25,Concertación y Juntos Podemos por más Democracia,PPD,"['Ximena', 'Vidal', 'Lázaro']",43794,30.81,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Vidal_Lázaro
25,Concertación y Juntos Podemos por más Democracia,PDC,"['Gonzalo', 'Duarte', 'Leiva']",29876,21.02,,
25,Coalición por el Cambio,RN,"['Gonzalo', 'Díaz', 'del Río', 'Riesco']",26337,18.53,,
25,Coalición por el Cambio,UDI,"['Felipe', 'Salaberry', 'Soto']",28444,20.01,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Salaberry_Soto
25,Nueva Mayoría para Chile,PH,"['Erika', 'Klenner', 'Canales']",5161,3.63,,
25,Nueva Mayoría para Chile,PH,"['Salvador', 'Víctor', 'Ojeda', 'Vásquez']",2228,1.57,,
25,Chile Limpio. Vote Feliz,PRI,"['José', 'Pedro', 'Weinstein', 'Mendel']",3115,2.19,,
25,Chile Limpio. Vote Feliz,IND,"['Oscar', 'Soto', 'Garrido']",3191,2.24,,
25,Válidamente emitidos,,[],142146,100,,
26,Concertación y Juntos Podemos por más Democracia,PS,"['Carlos', 'Montes', 'Cisternas']",71173,50.44,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Montes_Cisternas
26,Concertación y Juntos Podemos por más Democracia,PDC,"['Myriam', 'Verdugo', 'Godoy']",6455,4.57,,
26,Coalición por el Cambio,IND,"['Gustavo', 'Alessandri', 'Balmaceda']",20875,14.79,,
